Tahun Daftar;Gelombang;Kode Pilihan;ID;Nama ;Tempat Lahir;Tanggal Lahir;Jenis kelamin;Agama;Status Nikah;Alamat;Kota;Provinsi;Telepon Rumah;HP;Email;Kewarganegaraan;Asal Sekolah;Tahun Lulus;No Ijazah;Tanggal Ijazah;Nilai UN;Nilai US;Pendidikan Terakhir;Nama Ayah;Alamat Ayah;No Kontak Ayah;Nama Ibu;Alamat Ibu;No Kontak Ibu;Kode Program Studi 1;Kode Program Studi 2
2012;1;2CM;201212CM01;Ricky Sauqi;Jambi;04/05/1981;L;1;0;Jl CCI 14 No 16;Bandung;Jawa Barat;022-5411236;081224968xx;rsauqi@yahoo.com;0;SMA 1 Jambi;1998;12345678;04/05/1981;90;80;SMA;Ridwan;Jl melur No 60;574575475;Taty;Jl melur No 60;574575475;1003;1004
2012;1;2CM;201212CM02;Indah Astuti;Semarang;29/12/1979;P;2;1;Jl Petek No 2;Semarang;Jawa tengah;022-3995544;081224363xx;indah@yahoo.com;1;SMA 3 Semarang;1998;9854;29/12/1979;80;70;SMA;Supadi;Jl Demak No 70;34567457;Siti Aminah;Jl Demak No 70;34567457;1005;1006
2012;1;2CM;201212CM03;Rafi Sauqi;Bandung;01/05/1990;L;3;2;Jl CCI 14 No 14;Bandung;Jawa Barat;022-5411234;084287497xx;rafi@gmail.com;2;SMA 3 Bandung;2005;34567890;01/05/1990;70;90;SMA;Riki;Jl CCI No 24;547457457;Indah;Jl CCI No 24;547457457;1007;1008
2012;1;2CM;201212CM04;Rafa Sauqi;Bandung;02/06/1998;L;4;3;Jl CCI 14 No 12;Bandung;Jawa Barat;022-5411236;082426772xx;rafa@gmail.com;0;SMA 3 Bandung;2006;987654567;02/06/1998;60;70;SMA;Riki;Jl CCI No 24;57457;Indah;Jl CCI No 24;57457;1009;1010
2012;1;2CM;201212CM05;Kayla Adinda;Bandung;03/07/1999;P;5;0;Jl CCI 14 No 10;Bandung;Jawa Barat;022-5411237;089672462xx;kayla@hotmail.com;1;SMA 5 bandung;2007;78909675;03/07/1999;70;60;SMA;Riki;Jl CCI No 24;547457;Indah;Jl CCI No 24;547457;1003;1004
2012;1;2CM;201212CM06;Ahmad Cipta;Jambi;28/10/1983;L;6;1;Jl Sangkuriang No 6;Bandung;Jawa Barat;022-5678994;086234242xx;acip@gmail.com;2;SMA 1 Jambi;2000;4636737;28/10/1983;50;80;SMA;Ridwan;Jl melur No 60;457457;Taty;Jl melur No 60;457457;1005;1006
2012;1;2CM;201212CM07;Aldo Aradea;Jambi;01/05/1990;L;7;2;Jl Melur No 53;Jambi;Jambi;0741-61806;082472644xx;aldo@yahoo.com;0;SMA 5 Jambi;2009;46234637;01/05/1990;60;70;SMA;Ridwan;Jl melur No 60;457;Taty;Jl melur No 60;457;1007;1008
2012;1;2CM;201212CM08;Aldi Reynaldi;Jambi;02/07/1991;L;1;3;Jl Melur No 51;Jambi;Jambi;0741-61809;081413416xx;aldi@yahoo.com;1;SMA TT Jambi;2010;3573573;02/07/1991;70;80;SMA;Ridwan;Jl melur No 60;54745745;Taty;Jl melur No 60;54745745;1009;1010
2012;1;2CM;201212CM09;Risti Kaka;Jambi;02/06/1989;P;2;0;Jl Melur No 55;Jambi;Jambi;0741-61805;086242424xx;risti@hotmail.com;2;SMA Adyaksa Jambi;2011;35735735;02/06/1989;80;90;SMA;Irwan;Jl melur No 62;54745745;Sri;Jl melur No 62;54745745;1003;1004
;1;;;Hantu Belau;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;;;;Pocong;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2CM;;Kunti;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;201212CM10;Wewe;;;;;;;;;;;;;;;;;;;;;;;;;;;
